,name,NO.in Stock,price,Rating,No.Ratings
0,وحدة تحكم سوني بلاي ستيشن 5 مع لاسلكية اصدار سي دي ، ابيض واسود,N/A,N\A,4.2 من 5 نجوم,93
1,وحدة تحكم لاسلكية دوال سينس لبلاي ستيشن 5 من سوني، أبيض,N/A,"4,099.‎",4.5 من 5 نجوم,"2,397"
2,قرص سليم لجهاز بلاي ستيشن 5 من سوني [موديل 2023 الجديد] - النسخة العالمية، أبيض,تبقى 1 فقط - اطلبه الآن.,"33,550.‎",4.5 من 5 نجوم,"2,600"
3,محرك ذاكرة مستديمة M.2 SSD SN850P سعة 1 تيرابايت مرخصة رسميًا لوحدة تحكم بلاي ستيشن 5 حتى 7300 ميجابايت ثانية مع مشتت حراري WDBBYV0010BNC WRSN من دبليو دي بلاك nvme الحالة الصلبة داخلي,N/A,"4,769.‎",4.8 من 5 نجوم,"5,511"
4,شنطة تخزين مضادة للماء لوحدة تحكم سوني بلاي ستيشن 5 وذراع الالعاب لون اسود B من جوستاف,تبقى 4 فقط - اطلبه الآن.,324.‎,3.2 من 5 نجوم,10
5,قاعدة شحن دوال سينس لجهاز بلاي ستيشن 5 من سوني - اسود، يو اس بي,N/A,"1,200.‎",4.6 من 5 نجوم,"6,038"
6,ايبيجا ذا جيمرز بيل - محطة شحن وتخزين 5 في 1 بلاي ستيشن - سريع مع مؤشر اضاءة LED متوافق 2 تحكم لالعاب سماعات الراس، USB، أسود,N/A,450.‎,N\A,N/A
7,قرص جهاز تشغيل ألعاب الفيديو بلاي ستيشن 5 رفيع، سعة تخزين 1 تيرابايت، لون أبيض، من سونى,تبقى 1 فقط - اطلبه الآن.,"32,600.‎",1.0 من 5 نجوم,4
8,غطاء حماية عمودي يقي من الغبار من ماكبازيل مناسب لجهاز بلاي ستيشن 5 سليم فقط، غطاء واقٍ مقاوم للغبار ومضاد للخدش لجهاز بلاي ستيشن 5 سليم من الإصدار الرقمي وجهاز تشغيل ألعاب الفيديو القرصية - أسود,N/A,359.‎,4.5 من 5 نجوم,147
9,لعبة فيديو اف سي 25 اصدار قياسي لبلاي ستيشن 5 من اي ايه سبورتس | انجليزي,تبقى 1 فقط - اطلبه الآن.,"3,850.‎",4.3 من 5 نجوم,715
10,حامل تبريد ملحقات بلاي ستيشن 5 مع مراوح اضاءة ليد وقاعدة شحن مزدوجة لوحدة تحكم من نيكسي جو مطور متعدد الوظائف قاعدة 10 فتحات العاب ابيض معدن,تبقى 3 فقط - اطلبه الآن.,799.‎,4.4 من 5 نجوم,"1,718"
11,شاحن سريع لذراع تحكم بلاي ستيشن 5 من ليكورلوف، حامل قاعدة شحن USB مزدوج لوحدة دوال سينس مع مؤشر LED ومنافذ نوع C، ابيض [2.5-3 ساعات],N/A,699.‎,4.4 من 5 نجوم,215
12,مروحة تبريد بلاي ستيشن 5، مبرد هادئ لجهاز خارجية مع ضوء ليد للأقراص والإصدارات الرقمية، مستويات سرعة قابلة للتعديل، من سيهاوي، يو اس بي,تبقى 1 فقط - اطلبه الآن.,560.‎,4.0 من 5 نجوم,169
13,غطاء حماية لوحدة التحكم ووحدة التحكم لجهاز بلاي ستيشن 5 من توكسوس - مجموعة كاملة من اكسسوارات جلد العنكبوت باللونين الاحمر والاسود,N/A,399.‎,4.2 من 5 نجوم,139
14,قاعدة شحن تبريد لمروحة جهاز بلاي ستيشن 5 سريعة بثلاث سرعات ومؤشر بإضاءة ليد لوحدة التحكم و11 قرص تخزين لجهاز بلا سليم - لون أبيض,N/A,"2,870.‎",4.2 من 5 نجوم,49
15,مروحة تبريد لجهاز PS5 من ايه دي زد، مروحة تبريد خارجية مع منفذ USB، مناسبة لجهاز سوني Playstation 5 الإصدار الرقمي ووحدات تشغيل محرك الأقراص الضوئية,تبقى 2 فقط - اطلبه الآن.,549.‎,4.4 من 5 نجوم,109
16,لعبة كول اوف ديوتي®: بلاك اوبس 6 - بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"3,999.‎",4.4 من 5 نجوم,467
17,قاعدة شحن دوال سينس لموبايل PS5 من سوني B08HHFKMXB - اسود,تبقى 1 فقط - اطلبه الآن.,"1,822.‎",4.4 من 5 نجوم,741
18,غطاء حماية مقاوم للغبار والماء والخدش لجهاز بلاي ستيشن 5 سليم (ليس لجهاز بلاي ستيشن 5) من مكبازل,N/A,404.‎,4.3 من 5 نجوم,79
19,اي ايه سبورتس اف سي 25 - بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"3,479.‎",4.5 من 5 نجوم,163
20,ملصق رقمي ناروتو #2 لجهاز بلاي ستيشن 5 متوافق مع بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"1,500.‎",N\A,N/A
21,لعبة ريترنال - لبلاي ستيشن 5 - (إصدار اللغة العربية غير مضمون),تبقى 1 فقط - اطلبه الآن.,"1,880.‎",4.4 من 5 نجوم,115
22,ملصق قرص سي دي لجهاز بلاي ستيشن 5 بتصميم سبايدر مان #5 لجهاز بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"1,500.‎",N\A,N/A
23,ستيكر لاصق بتصميم CD سبايدرمان #1 لبلاي ستيشن 5,N/A,"1,500.‎",N\A,N/A
24,حامل قاعدة تبريد لجهاز تشغيل العاب الفيديو الرقمية PS5، حماية ممتازة للمضيف وتبديد حرارة فعال، ثابت وغير قابل للانزلاق، من فاشون مانيا,تبقى 4 فقط - اطلبه الآن.,699.‎,N\A,N/A
25,حامل عمودي للقرص النحيف ووحدة التحكم الرقمية الجديدة، حامل قاعدة إضاءة ليد لأكسسوارات PS5 سليم - 14 وضع إضاءة مع مسمار وكابل يو اس بي، من فاشون مانيا,N/A,"1,860.‎",4.7 من 5 نجوم,5
26,غطاء غبار من النايلون الاسود من بلاي فيتال لجهاز بلاي ستيشن 5، واقي من الاتربة ببطانة ناعمة وانيقة لوحدة تحكم بلاي ستيشن 5، وغطاء مضاد للخدش للاصدار الرقمي واصدار القرص,N/A,404.‎,4.7 من 5 نجوم,"2,753"
27,لعبة بلاي ستيشن ألان ويك 2 إصدار ديلوكس من ايبيك جيمز، بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"3,873.‎",4.3 من 5 نجوم,54
28,لعبة ذا كرو موتور فيست - إصدار محدود، لجهاز بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"3,471.‎",4.5 من 5 نجوم,433
29,غطاء حماية من الغبار لجهاز تشغيل ألعاب الفيديو الرقمية بلاي ستيشن 5 سوني، قماش اوكسفورد مقاوم للغبار ومضاد للخدش ومقاوم للماء لجهاز سوني بلاي ستيشن 5 الإصدار الرقمي وإصدار القرص,N/A,450.‎,3.9 من 5 نجوم,15
30,"شاحن اذرع تحكم من اوفيو لجهاز الالعاب بلاي ستيشن 5 مع 4 منافذ USB-C وشريط اضاءة ليد، يو اس بي , متعدد الالوان",تبقى 1 فقط - اطلبه الآن.,627.‎,4.5 من 5 نجوم,"5,296"
31,شنطة هاندباج لجهاز بلاي ستيشن 5 وبلاي ستيشن 4,N/A,504.‎,3.6 من 5 نجوم,26
32,قاعدة شاحن PS5 وحدة تحكم سريع 2H لاجهزة بلاي ستيشن 5 منصة شحن مع نوعين من الكابل المزدوجة اويفو يو اس بي أبيض,تبقى 2 فقط - اطلبه الآن.,999.‎,4.6 من 5 نجوم,"14,749"
33,لعبة استرو بوت لجهاز Playstation,تبقى 2 فقط - اطلبه الآن.,"3,999.‎",4.9 من 5 نجوم,429
34,لعبة اي ايه سبورتس اف سي 24 - بلاي ستيشن 5,تبقى 1 فقط - اطلبه الآن.,"1,679.‎",4.7 من 5 نجوم,"1,059"
35,لعبة ديمونز سولز من سوني - PS5,N/A,"1,307.‎",2.8 من 5 نجوم,4
36,قاعدة شاحن وحدة تحكم بلاي ستيشن 5 ملحقات شحن لجهاز بمستشعر مزدوج ووحدة من مينيا بسرعة عالية 2.5 ساعة مع مؤشر LED ابيض,N/A,"1,000.‎",4.3 من 5 نجوم,29
37,قاعدة شحن X1014 لوحدة تحكم دوال سينس لجهاز بلاي ستيشن 5 من دوبي ، مزدوجة USB نوع C لعصا حامل سريع متعدد الألوان,N/A,259.‎,3.2 من 5 نجوم,4
38,حامل تبريد متعدد الوظائف TP5-05102 PS5 من دوبي، USB,N/A,799.‎,N\A,N/A
39,غطاء غبار من النايلون من بلاي فيتال لجهاز بلاي ستيشن 5، واقي من الأتربة ببطانة ناعمة وأنيقة لجهاز تشغيل ألعاب الفيديو لجهاز بلاي ستيشن 5، وغطاء مضاد للخدش للإصدار الرقمي وإصدار القرص، رمادي,تبقى 4 فقط - اطلبه الآن.,404.‎,4.6 من 5 نجوم,"2,849"
40,وحدة تحكم لاسلكية دوال سينس متوافقة مع بلاي ستيشن 5، لون ازرق، USB,تبقى 1 فقط - اطلبه الآن.,"4,120.‎",4.5 من 5 نجوم,3
