,name,NO.in Stock,price,Rating,No.Ratings
0,وحدة تحكم سوني بلاي ستيشن 5 مع لاسلكية اصدار سي دي ، ابيض واسود,N/A,N\A,4.2 من 5 نجوم,93
1,قاعدة شحن لذراع تحكم بلاي ستيشن 4 ، محطة عن بعد مع منفذ سريع بديل لشاحن وحدة يو اس بي أسود,N/A,399.‎,4.6 من 5 نجوم,"3,244"
2,سوني بلاي ستيشن 4 نحيل 500 جيجابايت - اسود,تبقى 2 فقط - اطلبه الآن.,"19,000.‎",3.2 من 5 نجوم,3
3,ذراع تحكم دوال شوك 4 لأجهزة بلايستيشن اسود,تبقى 3 فقط - اطلبه الآن.,670.‎,3.5 من 5 نجوم,12
4,"منصة شحن يو اس بي ال اي دي سريعة مزدوجة مع جيب لشحن يد التحكم الاسلكي للبلاي ستيشن فور، لمشغلات الألعاب , متعدد الالوان",تبقى 4 فقط - اطلبه الآن.,358.‎,4.4 من 5 نجوم,297
5,قاعدة وشاحن و3 مداخل يو اس بي ومبرد للبلايستيشن 4، لمشغلات الألعاب، رمادي، عدد 14,N/A,449.‎,2.3 من 5 نجوم,5
6,مجموعة غطاء من السيليكون باللونين الاحمر والازرق المموه لجهاز بلاي ستيشن 4 مع زوج مقابض الابهام على شكل جمجمة، 2، احمر وازرق,N/A,350.‎,3.8 من 5 نجوم,10
7,جراب حماية رفيع لحماية جهاز بلاي ستيشن 4 من الغبار,تبقى 3 فقط - اطلبه الآن.,250.‎,5.0 من 5 نجوم,3
8,لعبة اي ايه سبورتس اف سي 25 نسخة قياسية لـ PS4 من الكترونيك ارتس | لعبة فيديو | انجليزي,تبقى 1 فقط - اطلبه الآن.,"3,813.‎",4.4 من 5 نجوم,257
9,شاحن مزدوج مع ستاند شحن يو اس بي بضوء ال اي دي لوحدة التحكم بجهاز بلاي ستيشن 4 متعدد الألوان,تبقى 3 فقط - اطلبه الآن.,223.‎,4.5 من 5 نجوم,11
10,محطة مروحة تبريد راسية من اويفو حاملة لجهاز العاب بلاي ستيشن 4 - سليم - برو مع قاعدة شحن ثنائية بمنافذ خارجية لذراع التحكم و12 منفذ للالعاب معدن,تبقى 3 فقط - اطلبه الآن.,975.‎,4.5 من 5 نجوم,"44,478"
11,وحدة تحكم دوبل شوك متوافقة مع بلاي ستيشن 4 من كوفرزون جهاز لاسلكي - احمر,N/A,876.‎,4.0 من 5 نجوم,6
12,وحدة تحكم لاسلكية بديلة لدوال شوك 4 لجهاز بلاي ستيشن 4 مع كابل شحن من مولجيك (لون فضي),N/A,550.‎,N\A,N/A
13,حامل تبريد متعدد الوظائف لجهاز PS4-882C، USB,N/A,499.‎,4.0 من 5 نجوم,3
14,جراب محمول بتصميم شنطة كتف متوافق مع جهاز بلاي ستيشن 4 وبلاي ستيشن4 برو وبلاي ستيشن 4 سليم من لاييس,N/A,320.‎,4.5 من 5 نجوم,879
15,لعبة نيد فور سبيد هيت (بلاي ستيشن 4),تبقى 1 فقط - اطلبه الآن.,"1,250.‎",4.3 من 5 نجوم,171
16,رف تخزين الألعاب من ايه دي زي لتخزين 12 لعبة أقراص بلو راي ولألعاب بلاي ستيشن 4 و5 اكس بوكس ون واكس سلسلة اس وسويتش أبيض,N/A,625.‎,4.5 من 5 نجوم,485
17,شنطة حماية لبلاي ستيشن 4 من دي اس سبيس,تبقى 3 فقط - اطلبه الآن.,250.‎,4.4 من 5 نجوم,"1,118"
18,لعبة فيديو جود اوف وور راغناروك اي دي تي اس تي دي (بلاي ستيشن 4),تبقى 1 فقط - اطلبه الآن.,"2,350.‎",4.6 من 5 نجوم,117
19,ابروتشي بطاقة شبكة بلاي ستيشن,N/A,640.‎,3.3 من 5 نجوم,48
20,الاضافات مجموعة قضبان اضاءة الاهلي اس سي لجهاز بلاي ستيشن 4 - 5 قطع,N/A,150.‎,N\A,N/A
21,5 قطع من قضبان اضاءة بلاي ستيشن 4 ميكس شيب حزمة بلاي ستيشن 4,N/A,150.‎,N\A,N/A
22,الاضافات ملصق قياسي اساسينز كريد #1 لجهاز بلاي ستيشن 4,تبقى 1 فقط - اطلبه الآن.,600.‎,N\A,N/A
23,5 قطع من قضبان اضاءة اف سي برشلونة لبلاي ستيشن 4,N/A,150.‎,5.0 من 5 نجوم,1
24,تيكن 7 لبلاي ستيشن 4 1 من نامكو,N/A,"1,138.‎",4.4 من 5 نجوم,"1,710"
25,ستيكر لاصق مزخرف لجهاز تشغيل العاب الفيديو الرقمية والمقبض مصنوع من بلاستيك بي في سي لجهاز بلاي ستيشن 4 بلون اسود واحمر من كولور سكين,تبقى 2 فقط - اطلبه الآن.,244.‎,1.0 من 5 نجوم,2
